plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-122.0248972,36.954738,cab9bcaf-4ddb-4e28-9dd3-1a489426f0d1,1,"[{'property': '', 'dataset': 'meta', 'record_id': '207778455940385', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'Surfer Memorial', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': None}",0.4929396662387677,,['https://www.facebook.com/207778455940385'],,,,"[{'freeform': None, 'locality': None, 'postcode': None, 'region': None, 'country': 'US'}]",-122.0248972,36.954738
-122.0698295,36.9617804,37dd87f9-1009-4566-98f8-8169f8837453,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1176391669052895', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'Wilder Ranch State Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['skate_park', 'active_life'], dtype=object)}",0.4929396662387677,['http://www.parks.ca.gov/?page_id=549'],['https://www.facebook.com/1176391669052895'],,['+18314239703'],,"[{'freeform': 'Coast Rd', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.0698295,36.9617804
-122.0613359,36.9593141,376cc12b-302a-4f94-8a72-6e2745f946d6,1,"[{'property': '', 'dataset': 'meta', 'record_id': '287133568013279', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Moore Creek Preserve', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['active_life', 'landmark_and_historical_building'], dtype=object)}",0.7548172757475083,['https://www.discovertheforest.org/'],['https://www.facebook.com/287133568013279'],,['+18314205270'],,"[{'freeform': None, 'locality': 'Santa Cruz', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-122.0613359,36.9593141
-122.0583975,36.9592485,a306b203-b075-4d58-b046-ac4a68da8a8b,1,"[{'property': '', 'dataset': 'meta', 'record_id': '285495074810859', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Hot Yoga Toadal Fitness', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'yoga_studio'], dtype=object)}",0.9784508333782836,['http://www.toadalfitness.com/'],['https://www.facebook.com/285495074810859'],,['+12067347424'],,"[{'freeform': '2931 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5709', 'region': 'CA', 'country': 'US'}]",-122.0583975,36.9592485
-122.0565501,36.9595273,6ae36f11-7f3e-4d28-b4d4-c1c8ec1cf96d,1,"[{'property': '', 'dataset': 'meta', 'record_id': '149007531925775', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9879256218304757, 'between': None}]","{'primary': 'Westside Fitboxing', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['martial_arts_club', 'active_life'], dtype=object)}",0.9879256218304757,['http://www.westsidefitboxing.com/'],['https://www.facebook.com/149007531925775'],,['+18312048319'],,"[{'freeform': '2801 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5755', 'region': 'CA', 'country': 'US'}]",-122.0565501,36.9595273
-122.0558122,36.9597444,510b11af-8aaf-4229-b881-8bfdacd78f0a,1,"[{'property': '', 'dataset': 'meta', 'record_id': '502235906474721', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'University Business Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['landmark_and_historical_building', 'commercial_industrial'],
      dtype=object)}",0.9784508333782836,['http://www.owproperties.com/'],['https://www.facebook.com/502235906474721'],,['+18314238463'],,"[{'freeform': '2801 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5755', 'region': 'CA', 'country': 'US'}]",-122.0558122,36.9597444
-122.0563939,36.9605311,a50ec143-c00f-4f7b-9ebe-3a1909b111a4,1,"[{'property': '', 'dataset': 'meta', 'record_id': '615279051866941', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'West Side Pump Track', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['sports_and_recreation_venue', 'stadium_arena'], dtype=object)}",0.9784508333782836,['http://www.cityofsantacruz.com'],['https://www.facebook.com/615279051866941'],,['+18314205270'],,"[{'freeform': '100 Western Dr', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.0563939,36.9605311
-122.05648,36.96104,a8e9bfab-f189-4ade-981f-e30c2f7d2cae,1,"[{'property': '', 'dataset': 'meta', 'record_id': '212023858975897', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Coast Dairies State Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['beach', 'skate_park'], dtype=object)}",0.5662921348314607,['www.calparks.org/'],['https://www.facebook.com/212023858975897'],,,,"[{'freeform': '98 Coast Rd', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.05648,36.96104
-122.0500522,36.9599884,401d39e1-3531-4e20-9af2-2f0e3a1ec198,1,"[{'property': '', 'dataset': 'meta', 'record_id': '409962129187746', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'CrossFit Santa Cruz', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'boot_camp'], dtype=object)}",0.9784508333782836,['http://www.crossfitsantacruz.com/'],['https://www.facebook.com/409962129187746'],,['+18314212065'],,"[{'freeform': '2521 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5701', 'region': 'CA', 'country': 'US'}]",-122.0500522,36.9599884
-122.0479093,36.9601405,6dbdc1d8-3f6b-4b19-b032-8b272dc389b2,1,"[{'property': '', 'dataset': 'meta', 'record_id': '177628972291519', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1125899906885774', 'update_time': '2013-01-29T02:43:48.313Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Integrative Fitness', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'health_and_medical'], dtype=object)}",0.9950436916770052,['http://www.integrativefit.com/'],['https://www.facebook.com/177628972291519'],,['+18318187342'],,"[{'freeform': '207 McPherson St', 'locality': 'Santa Cruz', 'postcode': '95060-5820', 'region': 'CA', 'country': 'US'}]",-122.0479093,36.9601405
-122.0478943,36.9606362,be7e0e51-6331-49b1-a977-98aee36336aa,1,"[{'property': '', 'dataset': 'meta', 'record_id': '100158222417597', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'SCG Fitness', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['boot_camp', 'sports_and_recreation_venue'], dtype=object)}",0.9784508333782836,['https://scgfitness.org/'],['https://www.facebook.com/100158222417597'],,['+18316007117'],,"[{'freeform': '2351 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-5200', 'region': 'CA', 'country': 'US'}]",-122.0478943,36.9606362
-122.0412538,36.9657349,9868efa0-13b3-41a4-a897-8c79c1286ac5,1,"[{'property': '', 'dataset': 'meta', 'record_id': '106325668743001', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9879256218304757, 'between': None}
 {'property': '/properties/existence', 'dataset': 'Microsoft', 'record_id': '1407374889351587', 'update_time': '2025-05-22T15:52:07.020Z', 'confidence': 0.77, 'between': None}]","{'primary': 'Anytime Fitness', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'sports_and_recreation_venue'], dtype=object)}",0.9972228930210094,['https://www.anytimefitness.com/gyms/4906/santa-cruz-ca-95060/'],['https://www.facebook.com/106325668743001'],,['+18317773999'],"{'wikidata': None, 'names': {'primary': 'Anytime Fitness', 'common': None, 'rules': None}}","[{'freeform': '1640 Mission St', 'locality': 'Santa Cruz', 'postcode': '95060-4743', 'region': 'CA', 'country': 'US'}]",-122.0412538,36.9657349
